O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Index
11-1011.00,Chief Executives,11-2021.00,Marketing Managers,1
11-1011.00,Chief Executives,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",2
11-1011.00,Chief Executives,11-9111.00,Medical and Health Services Managers,3
11-1011.00,Chief Executives,11-9033.00,"Education Administrators, Postsecondary",4
11-1011.00,Chief Executives,23-1011.00,Lawyers,5
11-1011.00,Chief Executives,11-2031.00,Public Relations and Fundraising Managers,6
11-1011.00,Chief Executives,11-9032.00,"Education Administrators, Elementary and Secondary School",7
11-1011.00,Chief Executives,11-3031.02,"Financial Managers, Branch or Department",8
11-1011.00,Chief Executives,27-2012.03,Program Directors,9
11-1011.00,Chief Executives,11-9151.00,Social and Community Service Managers,10
11-1021.00,General and Operations Managers,11-3051.00,Industrial Production Managers,1
11-1021.00,General and Operations Managers,13-1121.00,"Meeting, Convention, and Event Planners",2
11-1021.00,General and Operations Managers,11-9081.00,Lodging Managers,3
11-1021.00,General and Operations Managers,41-3031.01,"Sales Agents, Securities and Commodities",4
11-1021.00,General and Operations Managers,11-2022.00,Sales Managers,5
11-1021.00,General and Operations Managers,41-3031.02,"Sales Agents, Financial Services",6
11-1021.00,General and Operations Managers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",7
11-1021.00,General and Operations Managers,11-3031.02,"Financial Managers, Branch or Department",8
11-1021.00,General and Operations Managers,11-2021.00,Marketing Managers,9
11-1021.00,General and Operations Managers,11-3121.00,Human Resources Managers,10
11-2011.00,Advertising and Promotions Managers,11-2031.00,Public Relations and Fundraising Managers,1
11-2011.00,Advertising and Promotions Managers,11-2021.00,Marketing Managers,2
11-2011.00,Advertising and Promotions Managers,27-3041.00,Editors,3
11-2011.00,Advertising and Promotions Managers,11-3131.00,Training and Development Managers,4
11-2011.00,Advertising and Promotions Managers,27-2012.04,Talent Directors,5
11-2011.00,Advertising and Promotions Managers,27-3031.00,Public Relations Specialists,6
11-2011.00,Advertising and Promotions Managers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",7
11-2011.00,Advertising and Promotions Managers,41-3011.00,Advertising Sales Agents,8
11-2011.00,Advertising and Promotions Managers,41-3031.02,"Sales Agents, Financial Services",9
11-2011.00,Advertising and Promotions Managers,11-3121.00,Human Resources Managers,10
11-2021.00,Marketing Managers,11-2031.00,Public Relations and Fundraising Managers,1
11-2021.00,Marketing Managers,11-2011.00,Advertising and Promotions Managers,2
11-2021.00,Marketing Managers,11-9033.00,"Education Administrators, Postsecondary",3
11-2021.00,Marketing Managers,41-3011.00,Advertising Sales Agents,4
11-2021.00,Marketing Managers,11-3031.02,"Financial Managers, Branch or Department",5
11-2021.00,Marketing Managers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",6
11-2021.00,Marketing Managers,27-2012.03,Program Directors,7
11-2021.00,Marketing Managers,11-3071.01,Transportation Managers,8
11-2021.00,Marketing Managers,11-9111.00,Medical and Health Services Managers,9
11-2021.00,Marketing Managers,41-3031.02,"Sales Agents, Financial Services",10
11-2022.00,Sales Managers,11-3051.00,Industrial Production Managers,1
11-2022.00,Sales Managers,41-9022.00,Real Estate Sales Agents,2
11-2022.00,Sales Managers,41-3031.02,"Sales Agents, Financial Services",3
11-2022.00,Sales Managers,11-9199.04,Supply Chain Managers,4
11-2022.00,Sales Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,5
11-2022.00,Sales Managers,11-3061.00,Purchasing Managers,6
11-2022.00,Sales Managers,41-3031.01,"Sales Agents, Securities and Commodities",7
11-2022.00,Sales Managers,11-1021.00,General and Operations Managers,8
11-2022.00,Sales Managers,11-9131.00,Postmasters and Mail Superintendents,9
11-2022.00,Sales Managers,41-3021.00,Insurance Sales Agents,10
11-2031.00,Public Relations and Fundraising Managers,11-2011.00,Advertising and Promotions Managers,1
11-2031.00,Public Relations and Fundraising Managers,27-3031.00,Public Relations Specialists,2
11-2031.00,Public Relations and Fundraising Managers,11-9033.00,"Education Administrators, Postsecondary",3
11-2031.00,Public Relations and Fundraising Managers,11-3131.00,Training and Development Managers,4
11-2031.00,Public Relations and Fundraising Managers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",5
11-2031.00,Public Relations and Fundraising Managers,11-9151.00,Social and Community Service Managers,6
11-2031.00,Public Relations and Fundraising Managers,11-9111.00,Medical and Health Services Managers,7
11-2031.00,Public Relations and Fundraising Managers,27-2012.01,Producers,8
11-2031.00,Public Relations and Fundraising Managers,41-3011.00,Advertising Sales Agents,9
11-2031.00,Public Relations and Fundraising Managers,41-3031.02,"Sales Agents, Financial Services",10
11-3011.00,Administrative Services Managers,41-3021.00,Insurance Sales Agents,1
11-3011.00,Administrative Services Managers,13-1031.01,"Claims Examiners, Property and Casualty Insurance",2
11-3011.00,Administrative Services Managers,41-3031.02,"Sales Agents, Financial Services",3
11-3011.00,Administrative Services Managers,11-9081.00,Lodging Managers,4
11-3011.00,Administrative Services Managers,11-3071.01,Transportation Managers,5
11-3011.00,Administrative Services Managers,41-3031.01,"Sales Agents, Securities and Commodities",6
11-3011.00,Administrative Services Managers,43-4011.00,Brokerage Clerks,7
11-3011.00,Administrative Services Managers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",8
11-3011.00,Administrative Services Managers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",9
11-3011.00,Administrative Services Managers,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",10
11-3021.00,Computer and Information Systems Managers,41-9031.00,Sales Engineers,1
11-3021.00,Computer and Information Systems Managers,11-9041.00,Architectural and Engineering Managers,2
11-3021.00,Computer and Information Systems Managers,15-1199.03,Web Administrators,3
11-3021.00,Computer and Information Systems Managers,17-2112.00,Industrial Engineers,4
11-3021.00,Computer and Information Systems Managers,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5
11-3021.00,Computer and Information Systems Managers,11-9121.00,Natural Sciences Managers,6
11-3021.00,Computer and Information Systems Managers,13-2099.04,"Fraud Examiners, Investigators and Analysts",7
11-3021.00,Computer and Information Systems Managers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",8
11-3021.00,Computer and Information Systems Managers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",9
11-3021.00,Computer and Information Systems Managers,15-1121.00,Computer Systems Analysts,10
11-3031.01,Treasurers and Controllers,13-2061.00,Financial Examiners,1
11-3031.01,Treasurers and Controllers,13-2011.02,Auditors,2
11-3031.01,Treasurers and Controllers,13-2011.01,Accountants,3
11-3031.01,Treasurers and Controllers,41-3031.01,"Sales Agents, Securities and Commodities",4
11-3031.01,Treasurers and Controllers,13-1081.00,Logisticians,5
11-3031.01,Treasurers and Controllers,11-9199.04,Supply Chain Managers,6
11-3031.01,Treasurers and Controllers,11-3061.00,Purchasing Managers,7
11-3031.01,Treasurers and Controllers,13-2052.00,Personal Financial Advisors,8
11-3031.01,Treasurers and Controllers,11-3071.03,Logistics Managers,9
11-3031.01,Treasurers and Controllers,41-3031.02,"Sales Agents, Financial Services",10
11-3031.02,"Financial Managers, Branch or Department",43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,1
11-3031.02,"Financial Managers, Branch or Department",41-3031.02,"Sales Agents, Financial Services",2
11-3031.02,"Financial Managers, Branch or Department",41-3031.01,"Sales Agents, Securities and Commodities",3
11-3031.02,"Financial Managers, Branch or Department",11-3031.01,Treasurers and Controllers,4
11-3031.02,"Financial Managers, Branch or Department",11-9033.00,"Education Administrators, Postsecondary",5
11-3031.02,"Financial Managers, Branch or Department",11-9199.01,Regulatory Affairs Managers,6
11-3031.02,"Financial Managers, Branch or Department",13-1081.00,Logisticians,7
11-3031.02,"Financial Managers, Branch or Department",11-3121.00,Human Resources Managers,8
11-3031.02,"Financial Managers, Branch or Department",11-9111.00,Medical and Health Services Managers,9
11-3031.02,"Financial Managers, Branch or Department",13-2072.00,Loan Officers,10
11-3051.00,Industrial Production Managers,11-1021.00,General and Operations Managers,1
11-3051.00,Industrial Production Managers,11-9071.00,Gaming Managers,2
11-3051.00,Industrial Production Managers,11-9161.00,Emergency Management Directors,3
11-3051.00,Industrial Production Managers,11-9081.00,Lodging Managers,4
11-3051.00,Industrial Production Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,5
11-3051.00,Industrial Production Managers,11-2022.00,Sales Managers,6
11-3051.00,Industrial Production Managers,13-1081.00,Logisticians,7
11-3051.00,Industrial Production Managers,51-1011.00,First-Line Supervisors of Production and Operating Workers,8
11-3051.00,Industrial Production Managers,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,9
11-3051.00,Industrial Production Managers,11-9199.04,Supply Chain Managers,10
11-3061.00,Purchasing Managers,11-9199.04,Supply Chain Managers,1
11-3061.00,Purchasing Managers,11-9199.01,Regulatory Affairs Managers,2
